No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,male,2,own,NA,little,14494431,6,radio/TV
1,22,female,2,own,little,moderate,73786449,48,radio/TV
2,49,male,1,own,little,NA,25988304,12,education
3,45,male,2,free,little,little,97728918,42,furniture/equipment
4,53,male,2,free,little,little,60383130,24,car
5,35,male,1,free,NA,NA,112272945,36,education
6,53,male,2,own,quite rich,NA,35151165,24,furniture/equipment
7,35,male,3,rent,little,moderate,86148252,36,car
8,61,male,1,own,rich,NA,37928541,12,radio/TV
9,28,male,3,own,little,moderate,64896366,30,car
10,25,female,2,rent,little,moderate,16056705,12,car
11,24,female,2,rent,little,little,53414892,48,business
12,22,female,2,own,little,moderate,19429233,12,radio/TV
13,60,male,1,own,little,little,14866401,24,car
14,28,female,2,rent,little,little,17395797,15,car
15,32,female,1,own,moderate,little,15895518,24,radio/TV
16,53,male,2,own,NA,NA,30055176,24,radio/TV
17,25,male,2,own,NA,little,100084728,30,business
18,44,female,3,free,little,moderate,155967021,24,car
19,31,male,2,own,quite rich,NA,42528570,24,radio/TV
20,48,male,2,own,little,NA,26459466,9,car
21,44,male,2,rent,quite rich,little,32820153,6,radio/TV
22,48,male,1,rent,little,little,27786159,10,car
23,44,male,2,own,moderate,moderate,22367796,12,car
24,26,male,2,own,NA,NA,25653531,10,furniture/equipment
25,36,male,1,own,little,little,17036226,6,furniture/equipment
26,39,male,1,own,little,NA,5281974,6,radio/TV
27,42,female,2,rent,rich,rich,5071191,12,radio/TV
28,34,male,2,own,little,moderate,29943585,7,radio/TV
29,63,male,2,own,little,little,84759564,60,business
30,36,male,2,own,rich,moderate,23719287,18,business
31,27,male,2,own,little,little,49843980,24,furniture/equipment
32,30,male,2,own,moderate,moderate,72732534,18,car
33,57,male,1,rent,NA,NA,15672336,12,business
34,33,female,3,own,little,rich,18276126,12,furniture/equipment
35,25,male,1,own,little,moderate,58845654,45,radio/TV
36,31,male,2,free,little,NA,75757890,48,education
37,37,male,2,own,little,rich,26037900,18,radio/TV
38,37,male,2,own,little,rich,15188775,10,domestic appliances
39,24,male,2,own,little,moderate,5678742,9,radio/TV
40,30,male,3,own,quite rich,NA,28926867,30,radio/TV
41,26,male,2,own,quite rich,moderate,14358042,12,radio/TV
42,44,male,1,own,little,moderate,76923396,18,repairs
43,24,male,2,rent,moderate,little,76712613,30,car
44,58,female,1,free,little,little,76167057,48,car
45,35,female,3,own,little,NA,17271807,11,car
46,39,male,2,own,quite rich,NA,28505301,36,radio/TV
47,23,female,0,rent,quite rich,little,16763448,6,car
48,39,male,1,own,little,NA,89619972,11,car
49,28,female,2,own,moderate,NA,25703127,12,radio/TV
50,29,male,1,own,NA,moderate,28926867,24,furniture/equipment
51,30,male,3,own,little,moderate,73960035,27,car
52,25,male,2,own,little,NA,15647538,12,radio/TV
53,31,male,2,own,NA,NA,41883822,18,car
54,57,male,2,free,little,moderate,27587775,36,car
55,26,male,1,own,NA,NA,9708417,6,car
56,52,male,3,own,NA,moderate,80196732,12,radio/TV
57,31,female,2,own,little,NA,118608834,36,radio/TV
58,23,female,3,own,little,rich,24314439,18,car
59,23,female,1,rent,little,little,77233371,36,furniture/equipment
60,27,male,2,own,little,moderate,17247009,9,business
61,50,male,2,own,NA,moderate,19057263,15,radio/TV
62,61,male,3,free,little,moderate,24215247,36,business
63,25,male,2,own,little,moderate,178805979,48,business
64,26,female,2,own,little,NA,39441219,24,radio/TV
65,48,male,2,own,NA,NA,64350810,27,repairs
66,29,female,2,own,little,NA,26918229,12,radio/TV
67,22,male,2,own,rich,moderate,12485793,12,car
68,37,male,2,free,little,NA,22553781,36,education
69,25,female,2,own,NA,NA,29683206,36,radio/TV
70,30,female,2,own,little,NA,100841067,36,car
71,46,male,1,rent,NA,NA,9051270,7,radio/TV
72,51,male,3,free,little,little,14432436,8,vacation/others
73,41,female,1,own,little,moderate,73823646,42,business
74,40,male,3,own,NA,little,24512823,36,education
75,66,male,3,free,little,little,18920874,12,car
76,34,male,2,own,little,little,49162035,42,radio/TV
77,51,male,2,own,little,moderate,59155629,11,radio/TV
78,39,male,1,own,NA,NA,116996964,54,car
79,22,male,2,own,little,moderate,47512968,30,furniture/equipment
80,44,female,2,own,NA,NA,73687257,24,radio/TV
81,47,male,2,own,quite rich,NA,15039987,15,radio/TV
82,24,female,1,rent,moderate,NA,19441632,18,business
83,58,female,1,own,little,little,21760245,24,vacation/others
84,52,male,1,own,little,little,28703685,10,radio/TV
85,29,female,3,own,little,NA,17507388,12,business
86,27,female,2,own,little,moderate,16056705,18,furniture/equipment
87,47,male,2,free,moderate,moderate,156376188,36,education
88,30,male,3,own,moderate,little,27885351,18,car
89,28,male,2,own,little,little,13738092,12,repairs
90,56,male,2,own,little,NA,7662582,12,radio/TV
91,54,male,2,own,little,little,17470191,12,car
92,33,female,1,own,NA,NA,9882003,12,radio/TV
93,20,male,2,rent,NA,rich,44847183,24,furniture/equipment
94,54,male,2,own,rich,moderate,16341882,12,car
95,58,male,2,rent,little,moderate,197702055,54,business
96,61,female,2,own,NA,NA,24946788,12,education
97,34,male,2,own,moderate,moderate,32510178,18,business
98,36,male,2,own,little,moderate,28976463,36,radio/TV
99,36,male,3,rent,NA,moderate,87499743,20,car
100,41,male,1,rent,moderate,NA,18214131,24,car
101,24,male,2,rent,little,moderate,28802877,36,radio/TV
102,24,female,2,own,little,NA,11555868,6,radio/TV
103,35,male,2,rent,little,moderate,23793681,9,furniture/equipment
104,26,male,2,rent,NA,NA,30315555,12,car
105,39,male,3,own,little,moderate,148019262,24,vacation/others
106,39,male,3,own,little,NA,80072742,18,car
107,32,male,2,own,little,moderate,75361122,12,car
108,30,female,2,own,NA,little,95732679,24,furniture/equipment
109,35,male,2,own,quite rich,moderate,17482590,14,business
110,31,male,2,own,moderate,moderate,17966151,6,business
111,23,female,2,rent,little,rich,4860408,15,education
112,28,male,1,rent,little,moderate,77617740,18,car
113,25,female,2,own,little,NA,97394145,36,car
114,35,male,2,own,quite rich,little,20830320,12,radio/TV
115,47,male,2,own,NA,NA,44363622,48,radio/TV
116,30,female,3,own,NA,little,88950426,42,radio/TV
117,27,female,2,rent,NA,little,26434668,10,furniture/equipment
118,23,female,2,own,quite rich,little,53080119,33,furniture/equipment
119,36,male,3,own,quite rich,moderate,29336034,12,car
120,25,female,2,own,little,little,22752165,21,radio/TV
121,41,female,3,rent,little,NA,47959332,24,car
122,24,male,1,rent,little,NA,21921432,12,furniture/equipment
123,63,male,2,free,little,rich,9683619,10,car
124,27,female,2,rent,NA,moderate,23855676,18,furniture/equipment
125,30,male,2,own,little,little,26298279,12,car
126,40,male,1,own,little,little,8691699,12,radio/TV
127,30,male,2,own,little,moderate,7922961,12,repairs
128,34,male,3,own,little,moderate,23062140,12,car
129,29,female,2,own,little,little,43384101,12,car
130,24,female,2,own,NA,moderate,105230313,48,car
131,29,male,2,own,little,little,85391913,36,education
132,27,male,1,own,little,NA,33576492,15,furniture/equipment
133,47,male,2,free,little,NA,24599616,18,furniture/equipment
134,21,female,2,own,moderate,NA,125775456,60,radio/TV
135,38,female,2,own,NA,NA,15374760,12,radio/TV
136,27,male,2,own,rich,NA,106792587,27,car
137,66,male,1,own,quite rich,moderate,9497634,12,radio/TV
138,35,male,2,own,NA,moderate,33824472,15,radio/TV
139,44,female,1,rent,little,rich,23322519,12,radio/TV
140,27,male,0,own,rich,rich,8790891,6,car
141,30,female,3,own,little,moderate,59453205,36,radio/TV
142,27,male,3,own,little,little,42354984,27,radio/TV
143,22,male,2,own,little,little,30526338,18,furniture/equipment
144,23,female,2,own,little,NA,28368912,21,furniture/equipment
145,30,male,2,own,moderate,moderate,44214834,48,business
146,39,female,2,own,little,little,10663140,6,car
147,51,female,2,own,moderate,NA,8456118,12,car
148,28,male,2,own,little,little,66595029,36,furniture/equipment
149,46,male,2,own,rich,NA,19615218,18,radio/TV
150,42,male,2,free,moderate,NA,16689054,6,radio/TV
151,38,male,2,own,little,NA,23855676,10,radio/TV
152,24,male,2,own,little,rich,72509352,36,radio/TV
153,29,female,2,rent,rich,moderate,96191442,24,car
154,36,male,3,rent,moderate,moderate,86383833,24,business
155,20,female,2,rent,little,little,15895518,12,furniture/equipment
156,48,male,2,own,moderate,little,15969912,9,repairs
157,45,male,1,own,little,little,4203261,12,education
158,38,male,2,own,moderate,moderate,43545288,24,car
159,34,male,1,own,NA,NA,23533302,6,radio/TV
160,36,male,2,own,moderate,NA,35609928,24,radio/TV
161,30,female,2,own,little,NA,13080945,18,car
162,36,male,2,own,quite rich,NA,15647538,15,domestic appliances
163,70,male,3,free,little,moderate,90611892,10,car
164,36,male,2,own,quite rich,NA,11270691,36,car
165,32,male,2,own,quite rich,NA,36924222,6,furniture/equipment
166,33,female,2,own,little,little,14023269,18,furniture/equipment
167,20,female,2,own,rich,moderate,19553223,11,furniture/equipment
168,25,female,2,rent,little,NA,49248828,24,furniture/equipment
169,31,male,2,own,little,moderate,23992065,24,business
170,33,male,2,rent,little,little,11779050,15,car
171,26,female,2,own,little,NA,9460437,12,furniture/equipment
172,34,female,3,own,little,moderate,25591536,24,furniture/equipment
173,33,male,2,own,little,moderate,17532186,8,radio/TV
174,26,male,2,own,little,little,42330186,21,education
175,53,female,3,own,NA,NA,92806515,30,car
176,42,male,2,own,little,little,31952223,12,furniture/equipment
177,52,male,2,own,quite rich,little,4190862,6,radio/TV
178,31,male,3,rent,little,NA,24339237,12,radio/TV
179,65,male,2,own,little,little,7079829,21,car
180,28,male,2,own,little,NA,118683228,36,business
181,30,male,3,own,little,moderate,55237545,36,business
182,40,male,1,own,NA,little,20421153,21,car
183,50,male,2,own,rich,NA,46831023,24,furniture/equipment
184,36,male,2,own,little,moderate,10960716,18,car
185,31,male,2,own,little,NA,16862640,15,radio/TV
186,74,female,3,free,little,moderate,63594471,9,car
187,68,male,0,free,little,moderate,14568825,16,car
188,20,male,2,own,moderate,little,8356926,12,radio/TV
189,33,female,2,own,little,moderate,40222356,18,furniture/equipment
190,54,male,3,own,rich,NA,56923809,24,business
191,34,male,1,free,moderate,moderate,47661756,48,business
192,36,male,2,own,little,moderate,48542085,27,business
193,29,male,2,rent,little,NA,26137092,6,radio/TV
194,21,male,2,rent,moderate,moderate,37581369,45,radio/TV
195,34,female,3,own,little,moderate,18610899,9,education
196,28,female,2,own,little,NA,17135418,6,radio/TV
197,27,female,2,rent,moderate,moderate,11791449,12,furniture/equipment
198,36,male,2,free,NA,moderate,34221240,24,car
199,40,male,3,own,little,moderate,53278503,18,furniture/equipment
200,52,male,2,own,quite rich,NA,11605464,9,education
201,27,male,1,own,little,little,14482032,12,car
202,26,male,2,own,little,NA,63445683,27,business
203,21,male,2,rent,little,little,11183898,12,education
204,38,male,1,own,little,NA,18536505,12,car
205,38,male,3,free,little,little,131714577,30,car
206,43,male,2,own,little,NA,23992065,12,furniture/equipment
207,26,male,2,own,little,moderate,17656176,12,domestic appliances
208,21,male,1,own,little,little,81436632,24,business
209,55,male,2,own,rich,NA,17519787,12,car
210,33,male,2,own,NA,NA,38114526,9,radio/TV
211,45,female,1,own,NA,NA,47550165,36,radio/TV
212,50,male,2,own,little,little,65627907,27,business
213,66,male,3,own,little,rich,23657292,30,business
214,51,male,2,own,NA,NA,41437458,36,radio/TV
215,39,female,1,own,NA,moderate,11555868,6,education
216,31,male,2,own,little,little,38486496,18,business
217,23,male,2,own,little,rich,48517287,36,radio/TV
218,24,male,1,rent,little,little,37457379,24,furniture/equipment
219,64,female,2,own,little,NA,16912236,10,car
220,26,male,1,own,little,moderate,7749375,12,radio/TV
221,23,female,2,rent,NA,little,14878800,12,education
222,30,male,2,own,little,NA,8766093,12,radio/TV
223,32,male,2,own,NA,NA,36924222,24,business
224,30,male,2,own,little,NA,57742143,15,car
225,27,male,2,own,little,NA,32398587,36,repairs
226,27,male,2,own,rich,moderate,135905439,48,radio/TV
227,53,male,3,free,little,little,97518135,12,furniture/equipment
228,22,male,2,own,little,NA,18325722,9,radio/TV
229,22,male,2,free,little,little,39044451,24,furniture/equipment
230,26,male,2,own,little,rich,52199790,36,radio/TV
231,51,male,1,free,quite rich,NA,31084293,9,car
232,35,male,2,own,moderate,NA,26546259,12,radio/TV
233,25,male,1,own,little,moderate,10737534,18,radio/TV
234,42,male,1,own,little,NA,19144056,4,radio/TV
235,30,male,3,own,little,little,22603377,24,radio/TV
236,23,male,0,own,NA,moderate,180467445,6,car
237,61,male,1,rent,moderate,moderate,34308033,21,business
238,35,female,2,own,little,NA,16007109,12,radio/TV
239,39,male,2,own,little,little,31270278,30,radio/TV
240,29,female,2,own,NA,little,11345085,24,car
241,51,male,2,own,little,NA,19776405,6,radio/TV
242,24,male,2,free,little,little,57097395,48,car
243,27,female,2,own,little,NA,14692815,12,business
244,35,female,1,own,quite rich,NA,42739353,12,education
245,25,male,2,own,little,NA,15597942,24,business
246,52,male,2,own,little,NA,8890083,12,radio/TV
247,35,male,2,rent,moderate,NA,14928396,6,car
248,26,male,2,own,little,rich,23868075,24,furniture/equipment
249,22,female,2,rent,little,NA,5368767,18,radio/TV
250,39,female,1,own,rich,little,8257734,6,car
251,46,female,1,own,little,rich,27910149,12,furniture/equipment
252,24,female,2,own,little,moderate,26657850,30,car
253,35,male,2,own,moderate,NA,51468249,24,furniture/equipment
254,24,male,2,own,NA,moderate,25169970,9,furniture/equipment
255,27,male,1,own,NA,moderate,91975782,60,radio/TV
256,35,male,1,own,little,NA,33278916,24,radio/TV
257,29,male,2,free,little,little,26645451,12,radio/TV
258,23,female,2,own,moderate,NA,47264988,15,car
259,57,female,1,own,moderate,NA,14308446,11,radio/TV
260,27,male,2,own,little,little,20545143,12,furniture/equipment
261,55,female,2,own,little,little,19875597,24,radio/TV
262,36,male,3,free,little,little,65739498,18,car
263,57,female,1,free,little,NA,34072452,12,education
264,32,male,1,own,little,NA,15263169,10,car
265,37,male,2,own,little,moderate,9943998,15,radio/TV
266,36,male,2,own,NA,NA,78163296,36,business
267,38,female,2,own,little,NA,19007667,24,radio/TV
268,45,male,3,own,little,little,111318222,14,car
269,25,male,2,own,NA,NA,12386601,24,radio/TV
270,32,male,2,own,NA,NA,33006138,18,car
271,37,female,2,rent,quite rich,NA,17383398,12,furniture/equipment
272,36,male,3,free,NA,moderate,150883431,48,car
273,28,male,2,own,little,moderate,37940940,48,radio/TV
274,34,male,1,own,little,little,148763202,30,repairs
275,32,male,2,own,little,NA,33440103,9,radio/TV
276,26,female,2,own,little,NA,29807196,18,radio/TV
277,49,male,1,own,NA,little,15647538,12,furniture/equipment
278,32,female,2,own,little,NA,57171789,6,furniture/equipment
279,29,male,3,rent,moderate,NA,23570499,24,radio/TV
280,23,male,2,rent,rich,NA,41759832,15,car
281,50,male,2,own,little,NA,19516026,12,furniture/equipment
282,49,male,1,own,NA,rich,17916555,18,radio/TV
283,63,male,2,own,NA,NA,18846480,15,furniture/equipment
284,37,male,2,own,moderate,moderate,48083322,24,car
285,35,female,1,own,little,little,132942078,47,car
286,26,male,2,own,little,little,59366412,48,car
287,31,male,3,free,moderate,moderate,94009218,48,vacation/others
288,49,female,2,own,little,moderate,13539708,12,radio/TV
289,48,male,2,own,little,little,12696576,24,radio/TV
290,26,male,2,own,little,NA,13341324,12,business
291,28,male,3,rent,little,moderate,116525802,36,car
292,44,female,3,free,little,little,79589181,24,car
293,56,male,2,free,little,rich,59465604,42,car
294,46,male,3,own,NA,NA,94591971,48,business
295,26,female,2,own,little,moderate,123494040,48,furniture/equipment
296,20,female,2,rent,NA,NA,57965325,12,car
297,45,male,1,own,NA,NA,15957513,10,car
298,43,male,2,own,little,NA,31183485,18,furniture/equipment
299,32,male,2,own,rich,moderate,34035255,21,furniture/equipment
300,54,female,0,own,little,NA,8332128,6,car
301,42,female,2,own,little,moderate,47165796,36,radio/TV
302,37,male,1,own,NA,rich,16664256,24,car
303,49,male,2,own,little,little,12870162,10,car
304,44,male,2,free,quite rich,NA,125564673,48,car
305,33,male,2,own,rich,NA,19131657,6,furniture/equipment
306,24,female,1,rent,NA,NA,59651589,30,car
307,33,male,1,own,moderate,little,9014073,12,radio/TV
308,24,female,2,own,little,moderate,15337563,8,furniture/equipment
309,22,male,1,rent,little,moderate,3422124,9,car
310,40,male,0,free,NA,moderate,66719019,48,vacation/others
311,25,male,2,own,moderate,NA,68330889,24,furniture/equipment
312,26,female,2,own,little,rich,46483851,24,furniture/equipment
313,25,male,1,own,little,moderate,8493315,12,car
314,29,male,1,own,NA,rich,18524106,4,car
315,31,male,2,own,little,little,34047654,36,furniture/equipment
316,38,male,1,own,little,little,8778492,12,furniture/equipment
317,48,female,1,own,NA,moderate,53948049,24,furniture/equipment
318,32,male,2,own,little,NA,8691699,12,education
319,27,female,1,own,little,little,45169557,15,furniture/equipment
320,28,male,3,own,little,moderate,52683351,30,car
321,32,male,2,own,little,little,24029262,24,radio/TV
322,34,male,3,free,little,little,36081090,24,car
323,28,male,2,own,rich,little,32968941,18,furniture/equipment
324,36,female,2,own,little,NA,12746172,18,car
325,39,male,1,own,little,little,42131802,8,car
326,49,male,2,rent,NA,NA,71926599,12,furniture/equipment
327,34,female,2,own,rich,NA,18908475,24,car
328,31,male,2,own,little,rich,55460727,36,radio/TV
329,28,male,2,own,little,moderate,13242132,6,radio/TV
330,75,male,3,free,little,little,82019385,24,car
331,30,female,2,own,moderate,NA,23111736,18,education
332,24,female,3,own,moderate,moderate,91851792,60,car
333,24,female,1,rent,moderate,NA,143704410,48,car
334,23,male,2,rent,little,little,50959890,24,furniture/equipment
335,44,male,3,rent,little,little,41958216,6,furniture/equipment
336,23,female,1,own,little,moderate,26050299,13,radio/TV
337,24,female,2,rent,NA,little,15808725,15,domestic appliances
338,28,male,2,own,little,little,51691431,24,furniture/equipment
339,31,male,1,own,little,moderate,18858879,10,furniture/equipment
340,24,female,2,free,little,moderate,71207457,24,education
341,26,female,1,rent,little,little,44624001,21,furniture/equipment
342,25,male,2,rent,quite rich,moderate,39837987,18,radio/TV
343,33,male,3,own,little,moderate,55039161,18,business
344,37,male,1,own,little,rich,48963651,10,car
345,43,female,1,own,little,NA,18090141,15,radio/TV
346,23,male,2,own,little,moderate,10935918,13,radio/TV
347,23,female,0,rent,quite rich,moderate,46595442,24,radio/TV
348,34,male,1,own,moderate,NA,21611457,6,business
349,32,male,2,free,rich,moderate,14085264,9,education
350,23,female,2,rent,little,NA,15325164,9,domestic appliances
351,29,female,2,own,little,moderate,11890641,9,furniture/equipment
352,38,male,3,own,NA,NA,40036371,18,car
353,28,male,2,rent,little,little,76861401,12,radio/TV
354,46,male,2,free,quite rich,NA,9014073,10,education
355,23,male,1,own,little,moderate,15449154,24,car
356,49,male,2,own,NA,NA,28902069,12,radio/TV
357,26,male,3,own,little,NA,55336737,36,radio/TV
358,28,male,2,own,little,NA,9621624,12,radio/TV
359,23,female,2,rent,little,little,29831994,30,furniture/equipment
360,61,male,2,free,NA,moderate,15362361,18,education
361,37,male,3,own,NA,rich,42144201,12,radio/TV
362,36,female,2,own,little,rich,27860553,12,car
363,21,male,2,rent,little,NA,21896634,6,furniture/equipment
364,25,male,0,own,little,little,30662727,18,furniture/equipment
365,36,male,2,own,little,NA,19119258,12,business
366,27,male,2,own,little,NA,47736150,18,car
367,22,female,2,rent,little,little,45256350,18,furniture/equipment
368,42,male,2,own,little,little,42726954,36,furniture/equipment
369,40,female,2,rent,little,moderate,37209399,18,furniture/equipment
370,36,male,2,own,NA,NA,38176521,36,car
371,33,male,2,own,little,NA,75261930,18,radio/TV
372,23,female,2,rent,little,NA,26608254,10,furniture/equipment
373,63,male,3,free,NA,NA,170560644,60,car
374,60,female,3,free,moderate,moderate,183282018,60,vacation/others
375,37,female,2,rent,little,little,95286315,48,business
376,34,male,2,own,little,NA,28765680,18,radio/TV
377,36,male,2,free,NA,NA,10489554,7,radio/TV
378,57,male,3,free,little,moderate,177528882,36,car
379,52,female,1,own,moderate,NA,4488438,6,car
380,39,male,2,own,NA,little,27426588,20,furniture/equipment
381,38,female,3,free,little,moderate,160889424,18,car
382,25,female,2,rent,NA,NA,15907917,22,car
383,26,male,2,own,little,rich,16490670,12,car
384,26,male,1,own,moderate,NA,52968528,30,business
385,25,female,2,own,little,NA,27748962,18,radio/TV
386,21,female,2,rent,NA,NA,13961274,18,radio/TV
387,40,male,3,own,little,moderate,91430226,18,furniture/equipment
388,27,male,2,own,quite rich,moderate,28840074,15,business
389,27,female,2,own,little,NA,17966151,9,business
390,30,male,3,own,little,NA,22566180,18,car
391,19,female,1,rent,rich,moderate,12188217,12,furniture/equipment
392,39,male,3,free,little,little,40284351,36,car
393,31,female,2,own,little,little,24264843,6,radio/TV
394,31,male,3,own,little,NA,29831994,9,furniture/equipment
395,32,male,2,rent,moderate,moderate,145812240,39,education
396,55,female,3,free,little,little,31964622,12,furniture/equipment
397,46,male,2,own,little,little,29112852,36,furniture/equipment
398,46,male,2,rent,little,moderate,15163977,12,car
399,43,female,1,own,rich,NA,18796884,24,radio/TV
400,39,male,2,own,little,NA,18263727,18,radio/TV
401,28,male,2,own,NA,moderate,23396913,18,business
402,27,male,2,own,little,NA,107226552,24,business
403,27,male,1,own,little,NA,9943998,14,car
404,43,male,2,own,NA,moderate,35944701,18,car
405,22,male,2,own,little,moderate,25281561,24,radio/TV
406,43,male,2,own,NA,NA,27240603,24,car
407,27,male,2,own,little,little,13056147,15,radio/TV
408,26,male,3,own,quite rich,NA,40110765,24,radio/TV
409,28,male,2,own,quite rich,rich,11642661,12,car
410,20,female,2,own,little,moderate,24388833,24,radio/TV
411,35,male,3,own,little,NA,89929947,33,car
412,42,male,3,own,little,NA,28418508,12,business
413,40,male,1,rent,quite rich,NA,19801203,10,car
414,35,female,2,own,NA,little,17123019,24,car
415,35,male,2,own,little,NA,72434958,36,car
416,33,male,1,own,little,little,31977021,12,car
417,23,female,2,rent,NA,little,105031929,18,education
418,31,female,3,own,quite rich,NA,34494018,21,car
419,33,female,2,own,NA,moderate,12919758,18,car
420,20,female,2,rent,rich,NA,39503214,15,car
421,30,male,2,own,NA,moderate,25145172,12,car
422,47,male,1,own,little,moderate,11878242,12,car
423,34,male,3,own,moderate,NA,19726809,21,furniture/equipment
424,25,female,2,own,NA,moderate,34246038,12,furniture/equipment
425,21,male,2,rent,little,moderate,34456821,18,car
426,29,male,2,own,little,NA,34010457,28,radio/TV
427,46,male,2,own,rich,NA,14246451,18,radio/TV
428,20,male,2,own,little,NA,16279887,9,furniture/equipment
429,55,female,0,free,little,little,14754810,18,repairs
430,74,male,1,own,little,NA,42751752,5,business
431,29,male,3,own,little,moderate,140455872,24,vacation/others
432,36,male,3,free,little,little,23210928,6,furniture/equipment
433,33,male,2,own,little,NA,25517142,24,repairs
434,25,male,2,own,little,little,26484264,9,furniture/equipment
435,25,male,2,own,NA,moderate,18400116,12,radio/TV
436,23,male,1,rent,quite rich,NA,8183340,6,repairs
437,37,female,2,own,rich,NA,15957513,24,car
438,65,male,0,own,little,little,42082206,42,repairs
439,26,female,0,own,little,rich,7550991,12,business
440,39,male,3,own,little,NA,23359716,12,car
441,30,female,2,own,little,little,20086380,12,furniture/equipment
442,29,male,2,own,little,moderate,32596971,20,vacation/others
443,41,male,1,own,little,NA,8914881,12,education
444,30,female,3,own,little,moderate,63185304,48,furniture/equipment
445,41,female,1,rent,NA,NA,15424356,9,education
446,34,female,2,own,little,little,22838958,36,car
447,35,male,2,own,little,moderate,31939824,7,radio/TV
448,55,female,3,own,NA,rich,17656176,12,furniture/equipment
449,61,male,2,own,rich,moderate,18747288,15,repairs
450,30,male,3,own,NA,NA,137058546,36,car
451,29,female,2,own,little,NA,6422682,6,radio/TV
452,34,male,2,own,little,NA,34208841,12,furniture/equipment
453,35,male,3,own,little,NA,33105330,24,car
454,31,male,2,own,little,little,59725983,24,car
455,29,female,3,own,little,NA,33216921,24,car
456,36,male,2,rent,little,little,48418095,11,car
457,35,male,2,free,little,little,41983014,12,car
458,27,female,2,own,little,little,4252857,6,domestic appliances
459,32,male,2,own,little,NA,56961006,18,radio/TV
460,37,male,2,own,little,little,44884380,36,furniture/equipment
461,36,male,2,own,little,little,21338679,15,car
462,34,female,3,rent,little,moderate,37407783,12,furniture/equipment
463,38,male,2,own,NA,moderate,9348846,12,education
464,34,male,2,own,little,NA,24178050,18,business
465,63,male,2,own,little,little,36254676,24,car
466,29,female,1,rent,little,little,20569941,24,radio/TV
467,32,male,2,own,NA,NA,89743962,48,radio/TV
468,26,female,2,own,little,NA,34270836,33,business
469,35,male,1,own,little,NA,58014921,24,car
470,22,male,2,rent,moderate,moderate,38337708,24,radio/TV
471,23,female,2,own,little,little,5554752,6,education
472,28,male,1,own,little,little,8108946,9,car
473,36,male,3,own,NA,NA,15349962,6,education
474,33,male,2,own,little,moderate,15436755,18,radio/TV
475,26,female,2,rent,little,little,38610486,18,furniture/equipment
476,24,male,2,own,quite rich,NA,31853031,39,car
477,25,male,2,own,little,rich,63879648,24,radio/TV
478,39,male,1,own,moderate,moderate,12857763,12,business
479,44,male,2,own,little,little,18325722,15,furniture/equipment
480,23,female,1,own,little,moderate,44301627,12,radio/TV
481,26,male,2,own,little,moderate,14891199,24,car
482,57,female,2,rent,rich,little,44909178,30,furniture/equipment
483,30,female,2,own,rich,NA,11903040,15,furniture/equipment
484,44,male,2,own,quite rich,NA,14420037,12,car
485,47,male,3,own,little,moderate,14990391,6,car
486,52,male,2,own,little,NA,38151723,12,radio/TV
487,62,female,2,free,little,NA,46583043,24,car
488,35,male,1,rent,moderate,NA,17581782,10,car
489,26,male,2,rent,little,NA,43619682,6,car
490,26,male,2,own,little,NA,23979666,12,radio/TV
491,42,female,3,free,little,moderate,103134882,27,business
492,27,female,2,own,moderate,NA,15337563,6,radio/TV
493,38,male,2,own,NA,moderate,4562832,6,radio/TV
494,39,male,1,rent,little,little,26310678,12,car
495,20,male,2,own,NA,little,37147404,24,furniture/equipment
496,29,male,3,rent,moderate,moderate,112012566,36,furniture/equipment
