No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
497,40,male,2,own,little,NA,19652415,24,furniture/equipment
498,32,male,1,own,little,moderate,16131099,18,radio/TV
499,28,male,2,own,moderate,rich,16403877,6,car
500,27,female,2,own,little,little,38722077,24,car
501,42,male,2,free,little,little,68107707,36,car
502,49,male,2,own,moderate,rich,13961274,9,radio/TV
503,38,male,2,own,moderate,moderate,15077184,24,radio/TV
504,24,female,2,rent,little,little,14965593,24,car
505,27,male,1,own,NA,NA,16230291,10,car
506,36,male,2,own,quite rich,rich,29261640,15,car
507,34,male,3,own,moderate,moderate,84933150,15,car
508,28,male,2,own,little,NA,17519787,24,radio/TV
509,45,male,3,own,moderate,NA,106482612,39,car
510,26,male,2,own,little,little,9410841,12,car
511,32,male,3,free,little,NA,58101714,36,car
512,26,male,2,rent,little,rich,33316113,15,business
513,20,male,2,rent,little,moderate,7253415,12,radio/TV
514,54,male,2,own,NA,NA,27959745,24,car
515,37,female,2,own,little,little,7550991,6,car
516,40,male,1,own,little,little,16875039,6,car
517,23,female,2,rent,little,NA,88367673,36,furniture/equipment
518,43,male,2,own,moderate,little,14915997,6,car
519,36,male,2,free,NA,NA,8679300,6,radio/TV
520,44,male,2,free,little,NA,68281293,24,repairs
521,24,female,2,own,little,little,39552810,18,radio/TV
522,53,male,2,free,little,little,88268481,48,furniture/equipment
523,23,female,2,own,moderate,NA,43247712,24,car
524,26,female,1,own,little,moderate,13800087,18,radio/TV
525,30,male,2,own,little,moderate,98770434,26,car
526,31,female,2,own,moderate,NA,18995268,15,education
527,42,male,1,own,little,NA,18635697,4,radio/TV
528,31,male,2,rent,little,little,28542498,36,radio/TV
529,41,male,1,own,little,little,8208138,6,car
530,32,male,2,own,little,moderate,28182927,36,education
531,28,female,2,rent,moderate,moderate,32621769,15,car
532,41,male,2,rent,little,NA,18635697,12,car
533,26,male,2,own,moderate,NA,16255089,24,radio/TV
534,25,male,2,own,NA,NA,38498895,24,radio/TV
535,33,male,2,rent,little,rich,28753281,21,education
536,75,female,3,own,NA,little,17036226,6,car
537,37,female,2,own,little,moderate,44785188,18,furniture/equipment
538,42,male,3,free,little,little,96253437,48,car
539,45,female,1,own,little,rich,37804551,18,furniture/equipment
540,23,male,2,rent,little,moderate,19020066,12,radio/TV
541,60,male,2,free,little,NA,25194768,24,car
542,31,male,2,own,NA,little,78733650,30,furniture/equipment
543,34,male,1,own,little,rich,35510736,18,furniture/equipment
544,61,male,1,own,little,NA,15560745,12,car
545,43,male,2,free,little,little,16527867,24,car
546,37,female,2,own,little,NA,25070778,24,car
547,32,male,2,own,little,NA,19243248,24,radio/TV
548,24,female,1,own,little,little,7761774,12,radio/TV
549,35,male,2,free,NA,NA,109830342,48,car
550,23,female,2,own,NA,NA,12349404,12,repairs
551,45,male,1,own,quite rich,NA,21698250,6,radio/TV
552,34,male,2,own,little,little,86780601,48,radio/TV
553,27,male,2,own,moderate,moderate,24736005,12,car
554,67,female,3,own,little,moderate,14866401,9,education
555,22,male,2,own,little,moderate,16503069,12,radio/TV
556,28,female,2,own,moderate,moderate,28244922,18,car
557,29,female,2,own,NA,NA,62032197,21,car
558,27,male,2,own,little,little,44041248,24,furniture/equipment
559,31,male,1,own,little,moderate,23905272,18,furniture/equipment
560,49,male,2,free,NA,little,36750636,24,car
561,24,male,1,rent,little,little,19168854,24,radio/TV
562,29,female,2,own,little,rich,8468517,6,radio/TV
563,37,male,2,free,NA,moderate,153611211,36,car
564,37,male,3,own,NA,moderate,58424088,24,business
565,23,female,2,rent,moderate,moderate,19255647,24,radio/TV
566,36,male,2,own,little,little,17011428,12,car
567,34,male,2,own,rich,NA,31964622,24,radio/TV
568,41,male,2,own,NA,moderate,49335621,48,radio/TV
569,31,female,2,own,little,little,83792442,48,radio/TV
570,23,female,1,rent,little,little,40098366,24,furniture/equipment
571,38,male,2,own,little,NA,73823646,30,radio/TV
572,26,female,3,rent,NA,NA,67363767,24,car
573,22,female,1,own,little,little,9993594,15,business
574,27,male,1,own,little,moderate,13415718,9,radio/TV
575,24,female,2,own,little,NA,34568412,15,furniture/equipment
576,27,female,2,own,little,moderate,36329070,12,radio/TV
577,33,female,2,own,NA,NA,23892873,24,education
578,27,male,2,own,little,moderate,34965180,36,car
579,27,male,1,own,little,NA,11617863,24,education
580,30,male,2,own,little,moderate,13093344,18,car
581,49,male,1,own,little,moderate,38734476,12,car
582,26,female,2,rent,little,NA,17209812,9,furniture/equipment
583,33,male,1,rent,little,moderate,29559216,36,repairs
584,52,female,3,free,NA,NA,26447067,12,car
585,20,female,2,rent,little,little,25281561,18,furniture/equipment
586,36,male,2,rent,little,little,34704801,9,car
587,21,male,1,own,little,little,15982311,12,furniture/equipment
588,47,male,1,own,little,little,15089583,18,domestic appliances
589,60,male,2,own,little,little,27848154,12,furniture/equipment
590,58,female,1,own,little,little,4773615,12,radio/TV
591,42,female,2,rent,NA,moderate,24364035,24,car
592,36,female,1,own,rich,NA,19491228,21,business
593,20,female,1,rent,little,moderate,33700482,24,car
594,40,male,3,own,NA,little,16837842,24,vacation/others
595,32,female,1,own,moderate,moderate,11543469,6,car
596,23,female,2,rent,little,little,17879358,24,car
597,36,male,1,own,little,moderate,52584159,24,business
598,31,male,2,own,little,NA,34407225,18,car
599,32,male,2,free,little,NA,47897337,24,business
600,45,female,2,own,little,moderate,28877271,7,radio/TV
601,30,female,2,own,little,moderate,11382282,9,furniture/equipment
602,34,female,1,free,little,moderate,22776963,24,education
603,28,female,3,own,little,NA,41524251,36,furniture/equipment
604,23,female,2,own,little,rich,15808725,10,furniture/equipment
605,22,male,2,own,quite rich,little,35064372,24,furniture/equipment
606,74,male,3,own,little,NA,56117874,24,business
607,50,female,2,free,moderate,moderate,33117729,36,radio/TV
608,33,male,2,own,little,NA,25430349,18,radio/TV
609,45,male,2,free,NA,NA,16118700,15,car
610,22,female,2,own,moderate,little,9187659,12,domestic appliances
611,48,female,1,free,moderate,rich,15374760,10,car
612,29,female,2,own,rich,little,41623443,21,radio/TV
613,22,female,2,rent,little,little,45033168,24,car
614,22,female,2,own,little,NA,22417392,18,furniture/equipment
615,48,male,3,own,NA,moderate,151317396,48,business
616,27,male,3,free,NA,moderate,113537643,60,radio/TV
617,37,male,2,rent,little,little,45578724,6,car
618,21,female,2,rent,moderate,moderate,42664959,30,furniture/equipment
619,49,male,1,own,little,NA,7935360,12,car
620,27,male,2,own,little,moderate,45281148,21,business
621,32,male,2,own,little,NA,18970470,18,car
622,38,male,2,own,NA,NA,48529686,48,business
623,22,female,2,rent,little,little,23037342,12,furniture/equipment
624,65,male,2,free,little,little,32237400,18,radio/TV
625,35,male,2,own,NA,NA,24537621,15,radio/TV
626,41,male,2,own,little,rich,26236284,6,furniture/equipment
627,29,male,2,own,moderate,moderate,17817363,9,car
628,36,male,2,own,quite rich,NA,50116758,42,furniture/equipment
629,64,male,1,own,NA,NA,47512968,9,education
630,28,female,2,own,little,little,45380340,24,radio/TV
631,44,male,2,own,little,little,19255647,18,furniture/equipment
632,23,male,2,own,NA,moderate,17904156,15,radio/TV
633,19,female,2,rent,little,NA,24550020,9,furniture/equipment
634,25,female,1,own,little,moderate,16800645,24,car
635,47,male,2,own,little,NA,17271807,12,education
636,28,female,2,own,quite rich,NA,17061024,24,radio/TV
637,21,male,2,own,little,NA,194081547,60,radio/TV
638,34,female,2,own,little,NA,18511707,12,radio/TV
639,26,male,2,own,little,little,54183630,42,radio/TV
640,27,female,0,own,little,little,9299250,18,education
641,38,male,1,own,little,moderate,16217892,15,repairs
642,40,male,3,own,moderate,NA,57320577,15,education
643,33,male,2,own,little,NA,22950549,24,radio/TV
644,32,male,3,own,little,little,23310120,18,radio/TV
645,27,male,2,rent,NA,NA,98944020,36,business
646,32,male,2,own,little,little,56824617,30,furniture/equipment
647,26,female,2,own,quite rich,NA,17185014,12,car
648,38,male,2,free,little,rich,11741853,24,car
649,40,male,1,rent,little,little,8480916,12,education
650,50,male,3,free,little,little,92694924,48,education
651,37,male,1,own,little,moderate,23830878,12,furniture/equipment
652,45,male,2,own,little,little,28554897,24,car
653,42,male,3,own,moderate,moderate,100258314,36,car
654,35,male,2,own,little,NA,29088054,24,car
655,22,male,2,free,little,little,49261227,14,car
656,41,male,1,own,little,moderate,11010312,12,car
657,37,male,2,own,NA,NA,126742578,48,radio/TV
658,28,female,2,own,little,moderate,52336179,30,business
659,41,male,2,own,little,moderate,78870039,18,furniture/equipment
660,23,male,2,rent,little,rich,16081503,12,radio/TV
661,23,male,2,own,NA,little,11159100,12,car
662,50,male,2,own,little,NA,27786159,21,furniture/equipment
663,35,male,3,own,little,moderate,13018950,6,furniture/equipment
664,50,female,1,own,little,rich,12981753,6,education
665,27,male,3,own,little,NA,78287286,24,vacation/others
666,34,male,2,own,rich,moderate,43346904,30,furniture/equipment
667,27,female,2,own,little,NA,44747991,48,business
668,43,male,2,rent,little,little,60048357,12,car
669,47,male,2,own,little,rich,37407783,30,radio/TV
670,27,male,1,own,moderate,NA,51319461,24,business
671,31,male,2,own,moderate,NA,71195058,36,business
672,42,male,3,own,little,NA,128528034,60,car
673,24,male,2,own,quite rich,NA,25789920,6,car
674,41,male,1,own,quite rich,NA,31989420,21,business
675,26,female,3,rent,little,NA,56167470,30,radio/TV
676,33,male,2,own,little,NA,63854850,24,furniture/equipment
677,24,male,2,own,moderate,moderate,69372405,72,radio/TV
678,64,male,1,rent,little,little,29559216,24,radio/TV
679,26,female,2,own,little,NA,18015747,18,radio/TV
680,56,female,2,own,little,NA,19069662,6,education
681,37,male,2,free,NA,NA,28257321,12,radio/TV
682,33,male,2,own,little,NA,18325722,15,radio/TV
683,47,male,2,free,little,NA,63272097,24,radio/TV
684,31,male,1,own,moderate,moderate,122216943,36,business
685,34,male,2,free,NA,NA,80928273,60,car
686,27,male,2,own,NA,rich,16701453,10,radio/TV
687,30,male,2,free,moderate,moderate,35485938,36,car
688,35,male,2,own,moderate,NA,34134447,9,radio/TV
689,31,male,2,own,rich,little,45268749,12,car
690,25,male,2,own,little,little,12089025,15,furniture/equipment
691,25,female,1,own,moderate,moderate,32621769,15,repairs
692,29,male,2,own,moderate,moderate,35907504,24,radio/TV
693,44,male,1,own,NA,little,58473684,6,car
694,28,male,2,own,little,NA,28319316,24,radio/TV
695,50,male,2,rent,quite rich,NA,15325164,6,car
696,29,male,2,own,little,moderate,13676097,12,radio/TV
697,38,female,0,own,little,NA,11481474,12,car
698,24,male,2,own,little,NA,22318200,18,radio/TV
699,40,male,3,rent,little,rich,23620095,15,education
700,29,female,1,rent,quite rich,NA,13924077,12,furniture/equipment
701,46,male,2,free,little,little,78498069,48,car
702,47,female,2,free,moderate,rich,17073423,24,radio/TV
703,41,male,2,own,moderate,moderate,31034697,30,business
704,32,female,2,own,little,moderate,31344672,27,business
705,35,female,2,free,quite rich,NA,66012276,15,car
706,24,male,2,own,moderate,moderate,81337440,48,car
707,25,female,2,rent,little,moderate,36812631,12,furniture/equipment
708,25,female,2,own,little,moderate,14953194,9,radio/TV
709,37,male,1,own,little,moderate,26261082,9,radio/TV
710,32,male,3,own,quite rich,NA,7798971,18,radio/TV
711,35,female,2,free,little,little,14854002,6,education
712,46,male,3,own,NA,NA,30699924,21,car
713,25,male,1,own,little,little,14110062,9,radio/TV
714,27,male,3,own,little,moderate,173920773,60,car
715,63,male,2,own,NA,NA,94182804,30,car
716,40,male,2,own,NA,NA,38151723,30,radio/TV
717,32,male,3,free,little,NA,18660495,18,radio/TV
718,31,male,2,own,NA,rich,39032052,24,radio/TV
719,31,male,2,own,moderate,moderate,76229052,20,car
720,34,male,3,own,little,rich,16577463,9,radio/TV
721,24,female,2,rent,rich,moderate,5368767,6,education
722,24,female,1,own,little,little,15225972,12,car
723,66,female,1,own,quite rich,moderate,9795210,9,radio/TV
724,21,female,2,rent,little,NA,31865430,27,car
725,41,female,1,own,rich,NA,3099750,6,car
726,47,male,1,own,quite rich,NA,16317084,15,radio/TV
727,25,female,2,rent,little,little,23334918,18,radio/TV
728,59,female,2,rent,little,moderate,79551984,48,business
729,36,male,2,own,rich,rich,15808725,24,business
730,33,male,2,own,little,moderate,79390797,24,radio/TV
731,21,male,1,rent,little,little,24636813,24,radio/TV
732,44,female,1,own,little,moderate,9423240,8,radio/TV
733,28,female,2,rent,rich,NA,32274597,24,car
734,37,female,2,own,little,NA,41908620,4,car
735,29,female,0,own,NA,moderate,49472010,36,domestic appliances
736,23,female,3,rent,little,moderate,143332440,24,car
737,35,male,1,own,moderate,little,54307620,18,car
738,45,male,3,own,little,NA,83829639,6,car
739,26,female,1,rent,moderate,moderate,53067720,30,business
740,32,male,2,own,moderate,little,28827675,24,car
741,23,male,1,own,little,moderate,12994152,10,radio/TV
742,41,male,2,own,NA,NA,39180840,21,radio/TV
743,22,male,2,own,quite rich,little,30786717,24,furniture/equipment
744,30,male,3,own,NA,little,175805421,39,furniture/equipment
745,28,male,1,own,little,little,22281003,13,business
746,23,female,2,rent,little,little,31133889,15,car
747,37,female,1,own,little,little,15796326,12,car
748,26,male,2,own,NA,NA,65069952,21,car
749,33,male,2,own,little,NA,37556571,15,car
750,49,female,2,own,little,little,5306772,6,furniture/equipment
751,23,female,1,own,little,little,12101424,18,car
752,23,female,1,rent,moderate,moderate,10427559,12,business
753,25,female,2,own,little,NA,71554629,30,radio/TV
754,55,male,2,free,rich,NA,19280445,12,repairs
755,32,female,2,rent,NA,little,15932715,24,car
756,74,male,0,own,little,rich,16106301,6,car
757,39,male,2,free,NA,rich,15759129,15,radio/TV
758,31,male,2,own,little,NA,17271807,24,car
759,35,male,2,own,little,little,8567709,12,car
760,59,female,2,own,NA,NA,62552955,15,car
761,24,female,2,rent,little,little,26335476,18,furniture/equipment
762,24,male,1,own,little,little,27451386,12,radio/TV
763,30,male,3,free,NA,NA,157219320,21,car
764,27,male,2,own,moderate,NA,30538737,24,car
765,40,male,1,own,little,moderate,14320845,12,radio/TV
766,31,male,1,own,little,little,38536092,30,furniture/equipment
767,31,female,2,rent,NA,NA,35969499,10,car
768,28,male,2,rent,little,moderate,44847183,12,furniture/equipment
769,63,male,1,own,little,NA,20520345,12,radio/TV
770,26,female,2,rent,NA,little,34865988,24,car
771,25,female,3,own,little,little,99997935,36,education
772,36,male,3,own,little,NA,40606725,21,car
773,52,male,2,own,moderate,NA,27562977,24,radio/TV
774,66,male,0,free,quite rich,rich,18350520,12,car
775,25,female,2,rent,NA,little,16999029,24,car
776,37,male,2,own,little,NA,43830465,36,car
777,25,female,2,own,little,little,43508091,18,radio/TV
778,38,male,3,own,rich,NA,70810689,36,car
779,67,female,2,own,little,moderate,48008928,18,repairs
780,25,male,2,own,little,moderate,61164267,39,radio/TV
781,60,male,2,own,rich,NA,24054060,24,car
782,31,male,1,own,little,moderate,17482590,12,education
783,23,female,1,own,moderate,moderate,10365564,12,car
784,60,male,3,own,NA,moderate,80196732,20,car
785,35,male,1,own,rich,moderate,24066459,18,business
786,40,male,2,own,quite rich,NA,33167325,22,radio/TV
787,38,male,2,own,NA,NA,34109649,48,car
788,50,male,2,free,little,moderate,77171376,48,education
789,27,male,2,own,little,little,74369202,40,education
790,39,female,2,own,little,moderate,14730012,21,business
791,41,male,3,own,NA,NA,78274887,24,car
792,27,male,2,own,NA,NA,15139179,6,furniture/equipment
793,51,male,2,free,little,rich,35857908,24,furniture/equipment
794,32,male,2,rent,quite rich,NA,37965738,24,furniture/equipment
795,22,female,2,rent,moderate,NA,28530099,9,furniture/equipment
796,51,male,2,free,NA,little,93128889,18,car
797,22,female,1,rent,little,NA,15597942,12,furniture/equipment
798,54,male,2,own,NA,NA,8890083,24,car
799,35,male,0,own,NA,moderate,19206051,9,car
800,54,male,2,free,little,NA,19801203,24,education
801,48,female,1,rent,little,moderate,22256205,18,radio/TV
802,24,female,2,own,little,little,52968528,20,furniture/equipment
803,35,male,2,own,NA,NA,12101424,12,radio/TV
804,24,female,0,rent,NA,moderate,92645328,12,car
805,24,male,2,own,little,little,114951129,36,car
806,26,male,1,own,little,moderate,7315410,6,radio/TV
807,65,male,2,own,NA,NA,11531070,12,radio/TV
808,55,male,3,free,little,moderate,115099917,42,car
809,26,female,0,rent,little,moderate,22045422,15,car
810,26,male,2,own,little,moderate,11245893,8,business
811,28,male,1,own,little,moderate,6001116,6,radio/TV
812,24,male,2,own,little,little,119389971,36,car
813,54,male,2,own,little,little,37829349,48,domestic appliances
814,46,male,2,free,little,little,48740469,48,car
815,54,female,2,rent,little,moderate,92149368,36,car
816,62,male,2,own,quite rich,NA,16589862,6,domestic appliances
817,24,female,2,rent,little,NA,19268046,6,radio/TV
818,43,male,3,own,little,little,196610943,36,vacation/others
819,26,male,2,own,little,little,16676655,18,radio/TV
820,27,male,2,own,little,NA,13651299,12,car
821,24,male,2,own,little,rich,37395384,12,radio/TV
822,41,male,2,own,little,little,33626088,36,furniture/equipment
823,47,male,1,own,little,little,9063669,8,car
824,35,male,3,own,little,NA,46868220,18,furniture/equipment
825,30,male,2,own,little,little,19863198,21,car
826,33,female,2,rent,little,little,49174434,18,car
827,36,male,2,own,little,NA,51641835,18,business
828,47,male,2,free,NA,little,103345665,36,car
829,38,male,2,free,NA,moderate,82837719,48,business
830,44,male,2,own,quite rich,NA,29447625,24,business
831,23,female,2,rent,little,little,15077184,18,car
832,29,male,2,rent,little,little,146506584,45,business
833,42,female,2,own,NA,moderate,63036516,24,radio/TV
834,25,female,1,own,little,rich,28852473,15,radio/TV
835,48,male,2,own,little,little,13415718,12,car
836,21,female,2,own,NA,NA,10985514,12,radio/TV
837,23,female,1,rent,little,NA,7451799,4,furniture/equipment
838,63,male,2,own,little,little,36663843,24,car
839,46,male,2,own,little,NA,32373789,24,radio/TV
840,29,male,2,own,little,little,64214421,36,furniture/equipment
841,28,male,1,own,little,NA,37110207,21,car
842,23,female,2,own,little,NA,24091257,18,repairs
843,50,male,2,own,little,NA,19330041,24,business
844,47,male,2,own,little,NA,42429378,18,furniture/equipment
845,35,male,2,own,NA,moderate,49298424,21,furniture/equipment
846,68,male,2,rent,NA,NA,83829639,18,car
847,28,male,2,own,little,NA,15486351,24,car
848,59,male,2,own,little,little,16912236,9,radio/TV
849,57,male,1,own,little,little,8790891,12,radio/TV
850,33,male,2,rent,little,little,27711765,20,car
851,43,male,2,own,NA,NA,50116758,24,car
852,35,male,2,free,little,NA,18238929,15,radio/TV
853,32,male,1,free,little,little,17879358,18,car
854,45,male,2,own,little,NA,134839125,36,car
855,33,male,2,own,moderate,NA,18276126,24,car
856,40,female,2,own,NA,NA,11084706,10,education
857,28,male,2,free,little,NA,41449857,15,furniture/equipment
858,29,female,2,own,little,little,49087641,15,car
859,26,male,2,rent,moderate,NA,44351223,9,car
860,27,male,2,own,rich,NA,71963796,24,car
861,28,male,2,own,little,NA,26893431,18,business
862,35,female,2,own,little,little,30241161,24,radio/TV
863,32,male,1,own,rich,NA,56117874,27,furniture/equipment
864,25,male,1,rent,little,NA,27401790,10,furniture/equipment
865,20,female,2,rent,quite rich,NA,27538179,15,furniture/equipment
866,27,female,2,own,little,little,29621211,18,radio/TV
867,42,male,2,own,little,NA,41301069,12,furniture/equipment
868,37,male,2,own,NA,NA,91864191,36,business
869,24,female,2,rent,little,little,8084148,12,furniture/equipment
870,40,female,2,own,quite rich,NA,95199522,36,furniture/equipment
871,46,male,2,own,little,rich,16651857,6,car
872,26,male,2,own,moderate,little,17135418,24,business
873,24,female,2,own,NA,NA,10836726,15,domestic appliances
874,29,male,1,own,little,little,44512410,12,furniture/equipment
875,40,female,2,own,rich,moderate,16391478,11,car
876,36,male,3,free,little,little,24054060,18,radio/TV
877,28,male,2,own,little,NA,44574405,36,radio/TV
878,27,male,3,free,little,little,17631378,9,car
879,36,male,2,own,NA,NA,83594058,30,radio/TV
880,38,male,3,own,little,NA,96885786,24,car
881,48,male,2,free,NA,NA,115025523,24,car
882,36,male,2,own,NA,moderate,27042219,30,car
883,65,female,0,own,little,NA,13614102,18,radio/TV
884,43,male,2,own,little,moderate,50302743,24,furniture/equipment
885,53,female,2,own,little,little,9857205,12,education
886,34,male,2,own,NA,moderate,35027175,24,business
887,23,male,2,own,little,moderate,194317128,48,business
888,34,male,3,own,little,NA,82006986,36,car
889,40,male,2,rent,NA,NA,97009776,28,car
890,43,male,3,own,little,little,30278358,27,business
891,46,male,2,own,little,NA,22677771,15,radio/TV
892,38,male,1,own,little,little,26918229,12,car
893,34,male,2,own,little,moderate,71914200,36,car
894,29,male,2,own,NA,NA,14494431,18,radio/TV
895,31,male,3,own,NA,NA,110933853,36,car
896,28,female,3,rent,little,little,32311794,21,radio/TV
897,35,female,2,own,rich,NA,19739208,12,furniture/equipment
898,33,female,1,rent,NA,NA,27104214,15,furniture/equipment
899,42,male,2,own,little,little,51493047,18,furniture/equipment
900,43,male,2,rent,little,little,32547375,16,car
901,44,male,2,own,NA,NA,43210515,20,car
902,42,male,2,free,NA,NA,129904323,36,car
903,40,male,2,rent,NA,NA,17185014,15,radio/TV
904,36,male,3,own,little,NA,15845922,24,radio/TV
905,20,male,3,rent,little,little,13725693,12,radio/TV
906,24,male,1,own,NA,little,46657437,21,car
907,27,male,2,own,NA,moderate,46012689,36,education
908,46,female,1,own,little,NA,44562006,15,car
909,33,female,1,own,NA,moderate,39614805,9,car
910,34,female,2,own,little,NA,55225146,36,radio/TV
911,25,female,1,own,little,moderate,58721664,24,furniture/equipment
912,25,female,2,own,NA,moderate,37085409,30,radio/TV
913,28,male,2,own,rich,NA,26558658,11,business
914,31,male,2,rent,little,little,39193239,24,business
915,32,female,3,own,little,moderate,228439176,48,vacation/others
916,32,male,2,own,moderate,NA,35312352,10,car
917,68,male,3,own,little,little,184695504,6,car
918,33,male,2,own,moderate,little,29249241,24,furniture/equipment
919,39,male,3,rent,little,little,41474655,24,furniture/equipment
920,28,female,2,own,little,NA,22528983,18,furniture/equipment
921,37,male,3,own,quite rich,NA,158074851,48,radio/TV
922,22,female,2,rent,little,little,16937034,9,radio/TV
923,30,male,2,rent,little,moderate,24822798,12,car
924,55,male,2,own,little,little,85205928,24,furniture/equipment
925,46,male,2,own,little,little,8642103,12,car
926,21,female,2,rent,little,little,13006551,18,furniture/equipment
927,39,male,2,free,little,little,127672503,48,car
928,58,male,2,own,NA,NA,23148933,30,radio/TV
929,43,male,1,own,little,little,16664256,12,car
930,24,male,1,own,little,little,21661053,24,furniture/equipment
931,22,female,2,own,little,moderate,20706330,9,radio/TV
932,30,male,2,own,little,NA,15176376,9,car
933,42,male,2,own,quite rich,NA,6472278,12,radio/TV
934,23,female,2,own,little,little,18573702,12,radio/TV
935,30,male,3,own,moderate,moderate,23793681,30,radio/TV
936,28,female,1,own,little,rich,9237255,9,radio/TV
937,30,male,3,rent,little,moderate,25579137,6,radio/TV
938,42,male,2,free,little,moderate,77964912,60,education
939,46,male,3,own,NA,NA,84833958,24,car
940,45,male,3,own,NA,NA,43731273,12,car
941,31,male,1,own,little,NA,19168854,10,car
942,31,male,2,own,NA,NA,11518671,24,furniture/equipment
943,42,male,1,own,little,NA,18040545,4,car
944,46,female,2,rent,little,little,22876155,15,furniture/equipment
945,30,female,2,own,quite rich,moderate,103630842,48,car
946,30,male,2,free,quite rich,little,41524251,24,furniture/equipment
947,38,male,3,own,NA,NA,35448741,12,car
948,43,male,1,own,little,NA,19007667,18,furniture/equipment
949,31,male,2,own,moderate,NA,44896779,24,radio/TV
950,40,male,0,own,little,moderate,44512410,18,business
951,24,male,2,own,little,little,26595855,36,business
952,28,female,2,rent,quite rich,moderate,50997087,24,car
953,26,female,3,own,little,NA,136066626,36,furniture/equipment
954,29,female,2,own,little,little,23471307,12,car
955,57,female,3,rent,rich,little,15263169,24,radio/TV
956,49,male,1,own,NA,rich,45330744,30,radio/TV
957,37,male,1,own,little,moderate,14308446,9,radio/TV
958,45,male,1,own,little,little,49670394,28,car
959,30,male,2,free,moderate,moderate,38052531,24,furniture/equipment
960,30,male,2,rent,little,NA,21574260,6,radio/TV
961,47,male,2,own,little,moderate,29174847,21,car
962,29,male,2,own,NA,NA,44090844,15,car
963,35,male,2,own,quite rich,NA,29720403,24,radio/TV
964,22,male,1,own,little,moderate,5629146,6,repairs
965,26,female,2,own,NA,moderate,21264285,30,radio/TV
966,23,male,1,own,quite rich,moderate,31245480,27,radio/TV
967,54,female,3,rent,little,NA,44239632,15,radio/TV
968,29,male,2,rent,NA,NA,88851234,42,radio/TV
969,40,male,1,own,little,little,48839661,11,car
970,22,male,2,own,moderate,moderate,18772086,15,repairs
971,43,male,1,own,little,NA,91665807,24,car
972,29,female,0,rent,little,little,14792007,24,car
973,36,male,2,rent,little,little,90475503,60,business
974,33,female,2,own,little,NA,35101569,30,radio/TV
975,57,female,1,own,quite rich,rich,15597942,24,radio/TV
976,64,female,2,own,little,moderate,9336447,6,radio/TV
977,42,male,2,own,NA,moderate,30092373,18,business
978,47,male,1,own,little,NA,31468662,24,car
979,25,male,2,rent,moderate,moderate,15672336,15,car
980,49,male,2,own,little,moderate,103978014,30,furniture/equipment
981,33,male,3,rent,little,NA,60060756,48,business
982,28,female,3,own,moderate,rich,36242277,21,car
983,26,male,2,own,little,little,102031371,36,car
984,30,male,1,own,little,NA,25145172,24,furniture/equipment
985,25,female,2,rent,little,little,17767767,15,furniture/equipment
986,33,male,2,own,little,rich,77977311,42,business
987,64,female,2,own,moderate,NA,17470191,13,radio/TV
988,29,male,3,free,little,little,81573021,24,car
989,48,male,1,own,little,moderate,21611457,24,radio/TV
990,37,male,1,own,NA,NA,44202435,12,education
991,34,male,1,own,moderate,NA,19454031,15,radio/TV
992,23,male,1,rent,NA,little,24004464,18,radio/TV
993,30,male,3,own,little,little,49087641,36,furniture/equipment
994,50,male,2,own,NA,NA,29633610,12,car
995,31,female,1,own,little,NA,21524664,12,furniture/equipment
996,40,male,3,own,little,little,47822943,30,car
997,38,male,2,own,little,NA,9968796,12,radio/TV
998,23,male,2,free,little,little,22876155,45,radio/TV
999,27,male,2,own,moderate,moderate,56737824,45,car